x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
2,1,1,2,3,1,4,1,3,2,1,3,0
3,1,2,2,3,1,4,1,4,2,2,3,0
4,2,2,2,3,1,3,1,3,1,2,3,0
5,2,1,2,2,1,4,1,2,1,2,3,0
6,1,1,2,2,1,4,1,4,1,1,4,0
7,1,2,2,3,1,5,1,4,2,2,3,0
8,1,2,2,2,1,5,1,3,2,1,3,0
9,2,2,2,3,1,4,1,3,2,2,3,0
10,1,2,2,4,1,5,1,4,1,2,2,0
11,1,2,2,3,1,4,1,5,1,2,3,0
12,2,2,2,3,2,3,2,3,3,2,4,0
13,1,1,2,1,2,4,1,1,3,2,4,0
14,2,2,1,4,2,3,1,3,2,2,4,0
15,1,2,2,3,1,4,1,1,2,2,2,0
16,1,1,1,3,2,4,2,2,1,2,3,0
17,1,2,2,3,1,4,1,2,2,2,3,0
18,2,1,1,3,2,3,2,3,3,2,4,1
19,2,2,2,3,1,4,1,4,1,2,3,0
20,1,2,2,4,1,4,1,5,1,2,2,0
21,1,2,2,2,1,4,1,3,2,2,4,1
22,1,2,2,2,1,5,1,3,3,2,3,0
23,1,2,2,3,1,3,1,1,3,2,1,0
24,1,1,2,4,1,5,1,4,1,2,4,0
25,1,2,2,3,1,4,1,4,2,2,4,0
26,2,1,2,3,1,4,1,3,2,2,4,0
27,1,2,1,2,2,3,2,3,1,2,4,0
28,1,1,2,3,2,4,1,3,1,2,3,0
29,1,2,1,3,2,5,2,3,2,1,3,0
30,2,1,2,4,1,5,1,3,1,1,3,0
31,1,2,2,3,1,4,1,2,2,2,4,0
32,1,2,2,3,1,3,1,3,2,2,3,0
33,2,2,2,2,2,4,1,3,2,2,4,0
34,2,1,1,3,2,3,1,2,3,2,4,0
35,1,2,2,2,1,4,1,2,1,2,3,0
36,1,1,2,3,1,3,1,3,1,2,3,1
37,2,2,2,3,1,3,1,2,2,1,3,0
38,1,1,2,3,1,4,1,3,1,2,4,0
39,1,1,2,3,1,4,1,3,2,2,3,0
40,1,2,2,3,2,3,2,3,2,2,5,0
41,1,1,2,2,1,3,1,3,2,2,2,0
42,1,2,2,3,1,4,1,4,2,2,4,0
43,1,2,2,3,1,4,1,4,1,2,2,0
44,1,2,2,3,2,3,2,3,1,2,3,0
45,1,1,2,3,2,4,1,4,1,2,4,0
46,1,1,2,4,2,5,1,4,2,2,3,0
47,1,1,2,2,1,4,1,3,2,2,4,0
48,1,2,2,2,2,3,2,3,2,2,3,0
49,1,2,2,1,2,3,1,3,3,2,3,0
50,1,2,2,3,1,3,1,2,2,2,3,0
51,1,1,2,3,2,4,1,2,2,1,4,0
52,1,1,2,4,1,4,1,4,2,2,3,0
53,1,2,2,1,2,3,2,3,3,2,2,0
54,1,1,1,1,2,3,1,2,1,2,2,0
55,1,2,1,2,1,5,1,3,2,2,3,0
56,1,2,2,3,2,4,1,3,1,2,4,0
57,1,2,2,4,2,3,1,2,2,2,4,0
58,1,2,2,2,2,3,1,3,2,2,3,0
59,2,2,2,3,2,4,1,3,3,2,3,0
60,1,1,1,1,2,3,2,2,1,2,5,0
61,1,1,2,3,1,4,1,4,1,1,2,0
62,1,1,1,2,2,3,2,4,2,2,2,0
63,1,1,2,2,1,3,1,2,1,2,4,0
64,1,2,1,2,1,3,1,2,3,2,3,0
65,1,2,2,4,1,4,1,3,2,2,3,0
66,1,2,2,3,1,4,1,3,1,2,3,0
67,1,1,2,2,2,3,1,2,3,1,3,0
68,2,1,2,3,1,4,1,3,3,2,3,0
69,1,1,2,2,1,4,1,2,2,2,3,0
70,1,2,2,3,1,5,1,4,2,2,4,0
71,1,2,2,3,1,3,1,4,1,2,3,0
72,1,2,2,2,2,2,1,2,3,2,3,0
73,1,1,2,2,2,3,2,2,2,2,4,0
74,1,1,1,1,1,4,1,3,1,2,3,0
75,1,2,1,3,2,2,2,1,3,2,3,0
76,1,1,2,3,1,3,1,1,3,2,4,0
77,1,2,2,3,1,3,1,3,3,2,5,0
78,1,1,1,3,1,4,1,4,1,2,3,1
79,1,2,2,3,2,4,1,3,1,2,3,0
80,1,2,2,3,2,4,1,2,2,2,3,0
81,1,1,2,3,1,4,1,4,1,2,3,0
82,1,1,2,3,1,3,1,3,2,2,3,0
83,2,2,2,2,2,2,2,2,3,2,4,0
84,2,2,2,3,1,4,2,4,2,2,4,0
85,1,2,2,3,2,4,1,3,2,2,3,0
87,1,2,2,3,1,4,1,3,2,2,3,0
88,1,2,2,2,1,3,2,3,3,2,3,0
89,1,2,2,3,2,5,1,4,2,2,4,0
90,1,1,2,4,1,4,1,3,1,2,4,0
91,1,2,2,4,1,3,1,2,2,2,3,1
92,1,2,2,3,2,3,1,2,3,2,3,0
93,2,1,2,1,2,3,2,2,3,2,3,0
94,1,1,2,3,2,3,1,2,2,2,5,0
95,1,2,2,4,1,4,1,4,2,2,3,0
96,1,2,2,3,1,5,1,5,2,2,3,0
97,1,2,2,3,2,3,1,2,2,2,2,0
98,1,1,2,3,2,2,2,1,3,2,4,0
99,1,1,2,3,1,3,1,3,1,2,3,0
100,1,2,2,3,1,4,1,3,2,2,3,0
101,1,2,2,2,1,3,2,4,3,2,4,0
102,2,1,2,3,1,3,1,2,2,2,4,0
103,1,1,2,2,1,3,1,3,2,2,4,0
104,1,1,2,1,2,5,1,1,2,2,3,1
105,1,1,1,3,2,3,1,1,3,2,3,0
106,1,1,2,3,2,3,1,3,3,2,2,0
107,1,2,2,3,1,3,1,4,2,2,3,0
108,1,2,2,2,2,2,1,3,3,2,4,0
109,1,2,2,3,1,4,1,3,3,2,4,0
110,1,2,2,3,2,5,2,3,1,2,5,0
111,1,1,2,2,2,2,2,1,1,2,5,0
123,1,2,2,3,2,4,1,3,1,2,3,0
124,1,2,2,4,2,4,2,4,1,1,3,0
125,1,2,1,2,1,3,1,2,2,2,5,0
126,1,2,2,1,1,3,1,3,2,1,3,0
127,1,2,2,1,1,4,1,4,2,2,5,1
128,1,1,2,3,1,3,1,1,2,2,1,0
129,1,2,2,3,2,3,1,3,3,2,3,0
131,1,1,2,4,2,4,1,1,2,2,3,1
132,1,2,2,2,2,3,2,2,2,2,4,0
133,1,1,1,3,2,3,2,1,3,2,4,0
134,1,1,2,1,2,5,2,2,1,2,5,1
135,1,2,2,3,2,3,1,2,2,2,3,0
136,1,2,2,2,2,2,2,2,3,2,3,0
137,2,2,2,2,1,4,1,3,2,2,4,0
141,1,2,2,1,1,2,1,1,3,2,2,0
142,1,1,1,4,2,3,1,3,1,2,4,0
143,1,2,2,4,1,4,1,3,1,2,3,1
144,2,2,2,3,1,1,1,1,2,1,3,1
146,1,2,2,3,1,5,1,3,2,2,3,0
147,1,2,2,4,1,4,1,3,3,2,3,0
148,2,2,2,3,1,3,1,2,2,1,3,0
149,1,2,2,3,1,5,1,5,1,2,3,0
150,1,1,2,1,1,3,2,1,2,2,3,0
153,1,2,2,3,1,4,1,2,2,2,3,0
154,1,2,2,3,2,4,1,2,1,2,3,0
155,1,2,2,2,1,4,1,4,2,2,3,1
156,1,2,2,3,1,5,1,2,3,1,3,0
157,1,2,2,2,1,3,1,3,2,2,3,1
158,1,1,1,1,1,3,1,1,3,2,5,1
159,1,2,2,4,1,5,1,5,3,2,3,1
160,1,2,2,3,1,5,1,1,3,2,3,0
162,1,2,2,2,1,4,1,3,1,2,4,0
163,1,1,2,3,2,3,1,2,3,2,3,0
164,1,1,2,4,1,4,1,3,2,2,3,0
165,1,1,2,3,1,4,1,3,2,1,3,1
